Order ID,Product,Quantity Ordered,Price Each,Order Date,City,State,Category
176558,USB-C Charging Cable,2,11.95,2019-04-19 08:46:00, Dallas,Texas,Charging Cable
176559,Bose SoundSport Headphones,1,99.99,2019-04-07 22:30:00, Boston,Massachusetts,Headphones
176560,Google Phone,1,600.0,2019-04-12 14:38:00, Los Angeles,California,Phone
176560,Wired Headphones,1,11.99,2019-04-12 14:38:00, Los Angeles,California,Headphones
176561,Wired Headphones,1,11.99,2019-04-30 09:27:00, Los Angeles,California,Headphones
176562,USB-C Charging Cable,1,11.95,2019-04-29 13:03:00, San Francisco,California,Charging Cable
176563,Bose SoundSport Headphones,1,99.99,2019-04-02 07:46:00, Seattle,Washington,Headphones
176564,USB-C Charging Cable,1,11.95,2019-04-12 10:58:00, Atlanta,Georgia,Charging Cable
176565,Macbook Pro Laptop,1,1700.0,2019-04-24 10:38:00, San Francisco,California,Laptop
176566,Wired Headphones,1,11.99,2019-04-08 14:05:00, Boston,Massachusetts,Headphones
176567,Google Phone,1,600.0,2019-04-18 17:18:00, Los Angeles,California,Phone
176568,Lightning Charging Cable,1,14.95,2019-04-15 12:18:00, Seattle,Washington,Charging Cable
176569,27in 4K Gaming Monitor,1,389.99,2019-04-16 19:23:00, Dallas,Texas,Monitor
176570,AA Batteries (4-pack),1,3.84,2019-04-22 15:09:00, Dallas,Texas,Batteries
176571,Lightning Charging Cable,1,14.95,2019-04-19 14:29:00, Atlanta,Georgia,Charging Cable
176572,Apple Airpods Headphones,1,150.0,2019-04-04 20:30:00, New York City,New York,Headphones
176573,USB-C Charging Cable,1,11.95,2019-04-27 18:41:00, San Francisco,California,Charging Cable
176574,Google Phone,1,600.0,2019-04-03 19:42:00, Los Angeles,California,Phone
176574,USB-C Charging Cable,1,11.95,2019-04-03 19:42:00, Los Angeles,California,Charging Cable
176575,AAA Batteries (4-pack),1,2.99,2019-04-27 00:30:00, New York City,New York,Batteries
176576,Apple Airpods Headphones,1,150.0,2019-04-28 11:42:00, Los Angeles,California,Headphones
176577,Apple Airpods Headphones,1,150.0,2019-04-04 19:25:00, Dallas,Texas,Headphones
176578,Apple Airpods Headphones,1,150.0,2019-04-09 23:35:00, Boston,Massachusetts,Headphones
176579,AA Batteries (4-pack),1,3.84,2019-04-11 10:23:00, New York City,New York,Batteries
176580,USB-C Charging Cable,1,11.95,2019-04-05 00:35:00, Los Angeles,California,Charging Cable
176581,iPhone,1,700.0,2019-04-09 21:38:00, Boston,Massachusetts,Phone
176582,Bose SoundSport Headphones,1,99.99,2019-04-27 12:20:00, Atlanta,Georgia,Headphones
176583,AAA Batteries (4-pack),2,2.99,2019-04-20 12:00:00, Portland,Oregon,Batteries
176584,Flatscreen TV,1,300.0,2019-04-24 20:39:00, San Francisco,California,TV
176585,Bose SoundSport Headphones,1,99.99,2019-04-07 11:31:00, Boston,Massachusetts,Headphones
176585,Bose SoundSport Headphones,1,99.99,2019-04-07 11:31:00, Boston,Massachusetts,Headphones
176586,AAA Batteries (4-pack),2,2.99,2019-04-10 17:00:00, San Francisco,California,Batteries
176586,Google Phone,1,600.0,2019-04-10 17:00:00, San Francisco,California,Phone
176587,27in FHD Monitor,1,149.99,2019-04-29 19:38:00, Los Angeles,California,Monitor
176588,20in Monitor,1,109.99,2019-04-02 04:00:00, Seattle,Washington,Monitor
176589,Lightning Charging Cable,1,14.95,2019-04-04 12:23:00, Atlanta,Georgia,Charging Cable
176590,Google Phone,1,600.0,2019-04-11 11:46:00, New York City,New York,Phone
176591,Apple Airpods Headphones,1,150.0,2019-04-21 07:21:00, Austin,Texas,Headphones
176592,USB-C Charging Cable,1,11.95,2019-04-27 13:04:00, Los Angeles,California,Charging Cable
176593,Lightning Charging Cable,2,14.95,2019-04-15 13:45:00, Portland,Oregon,Charging Cable
176594,Wired Headphones,1,11.99,2019-04-17 23:04:00, San Francisco,California,Headphones
176595,Wired Headphones,3,11.99,2019-04-02 09:11:00, Los Angeles,California,Headphones
176596,Apple Airpods Headphones,1,150.0,2019-04-27 20:11:00, Dallas,Texas,Headphones
176597,USB-C Charging Cable,1,11.95,2019-04-19 13:39:00, San Francisco,California,Charging Cable
176598,AAA Batteries (4-pack),2,2.99,2019-04-21 20:33:00, San Francisco,California,Batteries
176599,Lightning Charging Cable,1,14.95,2019-04-11 15:25:00, New York City,New York,Charging Cable
176600,27in 4K Gaming Monitor,1,389.99,2019-04-30 15:54:00, Boston,Massachusetts,Monitor
176601,USB-C Charging Cable,1,11.95,2019-04-02 22:32:00, Los Angeles,California,Charging Cable
176602,Lightning Charging Cable,1,14.95,2019-04-30 09:39:00, Dallas,Texas,Charging Cable
176603,USB-C Charging Cable,1,11.95,2019-04-01 07:46:00, San Francisco,California,Charging Cable
176604,USB-C Charging Cable,1,11.95,2019-04-02 10:57:00, San Francisco,California,Charging Cable
176605,USB-C Charging Cable,1,11.95,2019-04-15 16:29:00, San Francisco,California,Charging Cable
176606,LG Dryer,1,600.0,2019-04-21 14:16:00, San Francisco,California,Dryer
176607,AAA Batteries (4-pack),2,2.99,2019-04-18 12:11:00, Boston,Massachusetts,Batteries
176608,iPhone,1,700.0,2019-04-11 12:01:00, San Francisco,California,Phone
176609,Apple Airpods Headphones,1,150.0,2019-04-11 16:59:00, Austin,Texas,Headphones
176610,AAA Batteries (4-pack),1,2.99,2019-04-26 00:40:00, Dallas,Texas,Batteries
176611,Bose SoundSport Headphones,1,99.99,2019-04-30 13:16:00, San Francisco,California,Headphones
176612,Apple Airpods Headphones,1,150.0,2019-04-04 19:48:00, Seattle,Washington,Headphones
176613,USB-C Charging Cable,2,11.95,2019-04-26 18:58:00, New York City,New York,Charging Cable
176614,AA Batteries (4-pack),1,3.84,2019-04-07 21:01:00, San Francisco,California,Batteries
176615,Lightning Charging Cable,1,14.95,2019-04-30 10:35:00, Dallas,Texas,Charging Cable
176616,USB-C Charging Cable,1,11.95,2019-04-05 20:40:00, San Francisco,California,Charging Cable
176617,Apple Airpods Headphones,1,150.0,2019-04-25 08:03:00, Portland,Oregon,Headphones
176618,Lightning Charging Cable,2,14.95,2019-04-18 21:44:00, San Francisco,California,Charging Cable
176619,Flatscreen TV,1,300.0,2019-04-16 18:37:00, Los Angeles,California,TV
176620,USB-C Charging Cable,1,11.95,2019-04-17 10:39:00, Los Angeles,California,Charging Cable
176621,Lightning Charging Cable,1,14.95,2019-04-11 16:09:00, Boston,Massachusetts,Charging Cable
176622,AA Batteries (4-pack),1,3.84,2019-04-11 20:16:00, San Francisco,California,Batteries
176623,27in FHD Monitor,1,149.99,2019-04-20 23:51:00, Atlanta,Georgia,Monitor
176624,AA Batteries (4-pack),1,3.84,2019-04-28 10:44:00, Seattle,Washington,Batteries
176625,AAA Batteries (4-pack),2,2.99,2019-04-24 19:00:00, San Francisco,California,Batteries
176626,Bose SoundSport Headphones,1,99.99,2019-04-01 21:40:00, Boston,Massachusetts,Headphones
176627,Wired Headphones,1,11.99,2019-04-21 14:57:00, Atlanta,Georgia,Headphones
176628,Lightning Charging Cable,2,14.95,2019-04-15 04:03:00, Dallas,Texas,Charging Cable
176629,USB-C Charging Cable,1,11.95,2019-04-24 11:56:00, San Francisco,California,Charging Cable
176630,Google Phone,1,600.0,2019-04-10 05:01:00, San Francisco,California,Phone
176631,USB-C Charging Cable,1,11.95,2019-04-13 18:48:00, San Francisco,California,Charging Cable
176632,AAA Batteries (4-pack),1,2.99,2019-04-14 14:28:00, San Francisco,California,Batteries
176633,ThinkPad Laptop,1,999.99,2019-04-23 14:03:00, Los Angeles,California,Laptop
176634,Lightning Charging Cable,1,14.95,2019-04-10 08:00:00, Atlanta,Georgia,Charging Cable
176635,Vareebadd Phone,1,400.0,2019-04-26 09:55:00, San Francisco,California,Phone
176636,AA Batteries (4-pack),1,3.84,2019-04-30 20:37:00, Boston,Massachusetts,Batteries
176637,AAA Batteries (4-pack),1,2.99,2019-04-17 10:03:00, New York City,New York,Batteries
176638,USB-C Charging Cable,1,11.95,2019-04-20 08:33:00, Boston,Massachusetts,Charging Cable
176639,Macbook Pro Laptop,1,1700.0,2019-04-28 16:14:00, San Francisco,California,Laptop
176640,Wired Headphones,2,11.99,2019-04-27 22:54:00, San Francisco,California,Headphones
176641,Lightning Charging Cable,1,14.95,2019-04-25 21:36:00, Boston,Massachusetts,Charging Cable
176642,AA Batteries (4-pack),1,3.84,2019-04-17 18:38:00, Portland,Oregon,Batteries
176643,Macbook Pro Laptop,1,1700.0,2019-04-27 21:32:00, Boston,Massachusetts,Laptop
176644,USB-C Charging Cable,1,11.95,2019-04-23 02:09:00, Los Angeles,California,Charging Cable
176645,AAA Batteries (4-pack),3,2.99,2019-04-26 18:38:00, Dallas,Texas,Batteries
176646,Macbook Pro Laptop,1,1700.0,2019-04-22 07:14:00, Portland,Oregon,Laptop
176647,Google Phone,1,600.0,2019-04-21 19:40:00, Los Angeles,California,Phone
176648,27in FHD Monitor,1,149.99,2019-04-24 01:17:00, Portland,Oregon,Monitor
176649,USB-C Charging Cable,1,11.95,2019-04-09 08:49:00, San Francisco,California,Charging Cable
176650,Lightning Charging Cable,1,14.95,2019-04-12 16:47:00, Boston,Massachusetts,Charging Cable
